feature,coefficient,odds_ratio,absolute_coefficient
tolazamide_Steady,-0.2310140958191844,0.7937282777061045,0.2310140958191844
tolazamide_Up,-0.10995144052181222,0.8958776375908969,0.10995144052181222
examide_No,-0.24933877162862494,0.7793159185371442,0.24933877162862494
citoglipton_No,-0.24933877162862494,0.7793159185371442,0.24933877162862494
insulin_Down,0.03502638173483711,1.0356470306045695,0.03502638173483711
insulin_No,-0.10889482110377266,0.8968247395740203,0.10889482110377266
insulin_Steady,-0.11496109160201734,0.8914008262102188,0.11496109160201734
insulin_Up,-0.06050924061334396,0.941285070926831,0.06050924061334396
glyburide-metformin_Down,0.17282794083094763,1.1886615673666763,0.17282794083094763
glyburide-metformin_No,-0.11886785680481209,0.8879251262731688,0.11886785680481209
glyburide-metformin_Steady,0.04128340569541978,1.0421474142100784,0.04128340569541978
glyburide-metformin_Up,-0.34458226135318143,0.7085162662827132,0.34458226135318143
glipizide-metformin_No,-0.02573259611429076,0.9745956654356351,0.02573259611429076
glipizide-metformin_Steady,-0.2236061755145187,0.7996299862350131,0.2236061755145187
glimepiride-pioglitazone_No,-0.1263399050273611,0.8813152323879025,0.1263399050273611
glimepiride-pioglitazone_Steady,-0.12299886660115489,0.8842646647848027,0.12299886660115489
metformin-rosiglitazone_No,-0.06881419249449627,0.9335001152927307,0.06881419249449627
metformin-rosiglitazone_Steady,-0.18052457913410408,0.8348321609931268,0.18052457913410408
metformin-pioglitazone_No,-0.14381537416667042,0.8660476280647958,0.14381537416667042
metformin-pioglitazone_Steady,-0.10552339746196698,0.8998534183143422,0.10552339746196698
medication_change_Ch,-0.1438252255348141,0.8660390963528064,0.1438252255348141
medication_change_No,-0.10551354605343216,0.8998622831816531,0.10551354605343216
diabetes_medication_No,-0.23183329728469204,0.7930783205970493,0.23183329728469204
diabetes_medication_Yes,-0.017505474316689033,0.982646856330264,0.017505474316689033
diag_1_group_Circulatory,0.06145435002681038,1.0633819520631793,0.06145435002681038
diag_1_group_Diabetes,0.13837564346731412,1.1484068607946933,0.13837564346731412
diag_1_group_Digestive,-0.0625280178499827,0.9393867428479262,0.0625280178499827
diag_1_group_Genitourinary,-0.06653421425147264,0.9356309033976783,0.06653421425147264
diag_1_group_Injury,-0.08738254893619288,0.9163264888517868,0.08738254893619288
diag_1_group_Missing,0.152862720507718,1.1651650147014412,0.152862720507718
diag_1_group_Musculoskeletal,-0.20456075847200897,0.8150052219411804,0.20456075847200897
diag_1_group_Neoplasms,-0.06186700469134704,0.9400078951182916,0.06186700469134704
diag_1_group_Other,0.021486963413561228,1.0217194705163661,0.021486963413561228
diag_1_group_Respiratory,-0.14064590482144554,0.8687968940290626,0.14064590482144554
diag_2_group_Circulatory,-0.1143728720335303,0.8919253198631533,0.1143728720335303
diag_2_group_Diabetes,0.05277601080804788,1.0541934907241788,0.05277601080804788
diag_2_group_Digestive,-0.004013615154231461,0.9959944286339166,0.004013615154231461
diag_2_group_Genitourinary,-0.11929200392912276,0.8875485952421787,0.11929200392912276
diag_2_group_Injury,-0.08878123687281597,0.9150457299456363,0.08878123687281597
diag_2_group_Missing,0.14297008704228087,1.1536952907113989,0.14297008704228087
diag_2_group_Musculoskeletal,-0.12526390016631153,0.8822640422325282,0.12526390016631153
diag_2_group_Neoplasms,0.2858229985758009,1.3308568708419746,0.2858229985758009
diag_2_group_Other,-0.11064257541793139,0.8952586792094114,0.11064257541793139
diag_2_group_Respiratory,-0.16854166445398355,0.8448960605525516,0.16854166445398355
diag_3_group_Circulatory,-0.048996167638307164,0.9521847788079832,0.048996167638307164
diag_3_group_Diabetes,0.02801379253084059,1.028409868698437,0.02801379253084059
diag_3_group_Digestive,0.01697834191555513,1.0171232931445129,0.01697834191555513
diag_3_group_Genitourinary,0.08494671794957956,1.0886590591661511,0.08494671794957956
diag_3_group_Injury,-0.05028013544155388,0.9509629887466536,0.05028013544155388
diag_3_group_Missing,-0.30206551444176855,0.7392896291555697,0.30206551444176855
diag_3_group_Musculoskeletal,-0.057231779361872646,0.9443751573265234,0.057231779361872646
diag_3_group_Neoplasms,0.11394222441622645,1.120687374646382,0.11394222441622645
diag_3_group_Other,-0.07404648872253783,0.9286285220840912,0.07404648872253783
diag_3_group_Respiratory,0.03940023718449713,1.0401867217524838,0.03940023718449713
admission_type_Elective,-0.016626799959530234,0.9835106623715968,0.016626799959530234
admission_type_Emergency,0.0978426976784236,1.102789300146949,0.0978426976784236
admission_type_Missing,0.21245070221298168,1.2367051452356408,0.21245070221298168
admission_type_Newborn,0.18456124967026993,1.2026906434343054,0.18456124967026993
admission_type_Not Available,-0.09480724771048644,0.9095482350776259,0.09480724771048644
admission_type_Not Mapped,0.0014356291174463087,1.0014366601262508,0.0014356291174463087
admission_type_Trauma Center,-0.6872557997758619,0.5029543845490718,0.6872557997758619
admission_type_Urgent,0.05306079717328538,1.0544937534099892,0.05306079717328538
discharge_disposition_Admitted as an inpatient to this hospital,0.8429033042035454,2.323101866748113,0.8429033042035454
discharge_disposition_Discharged to home,-0.5608109689312109,0.570746018827748,0.5608109689312109
discharge_disposition_Discharged/transferred to ICF,-0.29110849848911996,0.7474345780961217,0.29110849848911996
discharge_disposition_Discharged/transferred to SNF,-0.13763858126218886,0.8714135800353144,0.13763858126218886
discharge_disposition_Discharged/transferred to a federal health care facility.,-0.3655208765573618,0.6938351542720644,0.3655208765573618
discharge_disposition_Discharged/transferred to a long term care hospital.,-0.9937183478866636,0.37019760516768563,0.9937183478866636
discharge_disposition_Discharged/transferred to a nursing facility certified under Medicaid but not certified under Medicare.,0.053905991486588624,1.0553853822805324,0.053905991486588624
discharge_disposition_Discharged/transferred to another rehab fac including rehab units of a hospital .,0.7371465323265693,2.089963354992447,0.7371465323265693
discharge_disposition_Discharged/transferred to another short term hospital,0.047573178068281104,1.0487229418324278,0.047573178068281104
discharge_disposition_Discharged/transferred to another type of inpatient care institution,0.3621466247245713,1.436409539673685,0.3621466247245713
discharge_disposition_Discharged/transferred to home under care of Home IV provider,-0.10664425318825288,0.8988453774973026,0.10664425318825288
discharge_disposition_Discharged/transferred to home with home health service,-0.3880837008243361,0.6783555619680869,0.3880837008243361
discharge_disposition_Discharged/transferred within this institution to Medicare approved swing bed,1.1823122424256367,3.261907811398582,1.1823122424256367
discharge_disposition_Discharged/transferred/referred another institution for outpatient services,-0.6354112993795848,0.5297175709977048,0.6354112993795848
discharge_disposition_Discharged/transferred/referred to a psychiatric hospital of psychiatric distinct part unit of a hospital,1.1045055237477008,3.0177319030559544,1.1045055237477008
